Track Name,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Genre
On Melancholy Hill,0.689,0.739,2,-5.81,1,0.026,1.51E-05,0.509,0.064,0.578,120.423,E-Rock
Ready For The Floor,0.764,0.759,1,-5.443,0,0.0413,0.00903,0,0.0746,0.937,128.999,E-Rock
Wildcat,0.703,0.718,1,-7.522,1,0.0669,0.0479,0.432,0.0415,0.785,115.993,E-Rock
Pogo,0.403,0.754,0,-5.256,1,0.0441,6.08E-05,7.73E-05,0.529,0.398,136.021,E-Rock
Ports,0.508,0.597,1,-9.046,1,0.0373,0.129,0.775,0.0922,0.275,174.03,E-Rock
Precious,0.568,0.883,1,-4.575,1,0.0271,0.0973,0.0476,0.104,0.861,104.987,E-Rock
Papillon,0.505,0.949,7,-5.157,1,0.0612,2.05E-05,0.00662,0.301,0.633,125.99,E-Rock
Restless,0.319,0.908,8,-3.15,1,0.139,0.0055,0.221,0.0611,0.533,111.939,E-Rock
Loud Pipes,0.718,0.703,7,-7.162,0,0.0382,0.109,0.822,0.208,0.858,87.975,E-Rock
DLZ,0.51,0.875,8,-3.985,0,0.0425,0.0306,0.00157,0.106,0.592,176.012,E-Rock
Before Your Very Eyes...,0.552,0.81,10,-11.19,0,0.0377,0.114,0.839,0.0926,0.411,123.983,E-Rock
Hands Around My Throat,0.614,0.781,8,-8.467,1,0.0297,0.00768,0.783,0.198,0.25,128.025,E-Rock
Kids,0.451,0.931,9,-3.871,1,0.0719,0.00076,0.0049,0.361,0.172,122.961,E-Rock
Estupendo,0.657,0.659,0,-8.528,1,0.028,0.00419,0.347,0.628,0.879,122,E-Rock
Tranz,0.649,0.883,7,-5.058,1,0.0306,0.0324,0.0185,0.0658,0.779,135.141,E-Rock
UH,0.969,0.658,0,-6.515,1,0.195,0.00366,0.814,0.105,0.739,109.975,E-Rock
Uprising,0.602,0.905,2,-4.046,1,0.0775,0.000202,0.064,0.117,0.411,128.019,E-Rock
We Are The People,0.666,0.785,4,-5.37,0,0.0308,0.0981,0.0198,0.434,0.549,122.973,E-Rock
Up In The Air,0.4,0.874,7,-5.395,1,0.0344,0.0013,0.000117,0.138,0.428,80.989,E-Rock
Shot In The Dark,0.599,0.787,2,-4.708,1,0.0338,2.07E-05,5.27E-05,0.064,0.822,114.065,Classic Rock
Even Flow,0.394,0.944,10,-6.506,0,0.0761,0.00178,4.54E-06,0.298,0.265,105.338,Classic Rock
Should I Stay or Should I Go - Remastered,0.743,0.836,2,-6.465,1,0.116,0.0804,0,0.384,0.82,113.375,Classic Rock
I Love Rock 'N Roll,0.535,0.716,4,-5.025,1,0.0431,0.326,0,0.659,0.901,94.379,Classic Rock
Comfortably Numb 2022,0.356,0.209,9,-13.931,0,0.0344,0.515,0.743,0.118,0.0575,119.926,Classic Rock
This Is a Call,0.261,0.964,9,-6.654,1,0.0638,0.00141,2.87E-05,0.183,0.326,162.902,Classic Rock
Dancing In the Dark,0.527,0.942,1,-5.64,0,0.0366,0.0115,0,0.188,0.495,148.723,Classic Rock
Sex on Fire,0.544,0.903,9,-5.651,1,0.0545,0.00166,0.00632,0.1,0.432,153.629,Classic Rock
It Never Rains in Southern California,0.626,0.565,9,-10.027,1,0.0271,0.124,0,0.0811,0.924,116.61,Classic Rock
Everlong,0.413,0.881,11,-5.541,0,0.0367,5.99E-05,0.000308,0.0805,0.364,158.066,Classic Rock
Seven Nation Army,0.729,0.466,0,-7.832,1,0.0843,0.00721,0.366,0.252,0.295,123.858,Classic Rock
